score_cutoff,approved_loans,approval_rate,approved_ead,avg_pd,observed_default_rate,total_expected_loss,expected_loss_rate,estimated_interest_income,estimated_funding_cost,estimated_operating_cost,risk_adjusted_profit,profit_rate_on_ead
450,7882,1.0,4301246798.49,0.028006447882145086,0.033240294341537684,112875230.1379548,0.026242444441360792,1127195439.5603724,258074807.9094,86024935.9698,670220465.5432175,0.15582004403432648
475,7881,0.9998731286475514,4300299327.4,0.02798101502735161,0.033244512117751555,112658787.21149269,0.026197894293932145,1126927778.9774475,258017959.64399996,86005986.548,670245045.5739549,0.15586009125071562
500,7879,0.9996193859426542,4299339063.03,0.02794492216951054,0.03325295088209164,112521755.91329587,0.0261718729934259,1126634171.4960527,257960343.78179997,85986781.2606,670165290.540357,0.1558763523219431
525,7867,0.9980969297132708,4292431775.2900004,0.027775364460011037,0.03317656031524088,111699290.33402236,0.02602237989594508,1124803061.062469,257545906.51740003,85848635.50580001,669709228.7052466,0.15602093725997554
550,7790,0.9883278355747273,4246656122.8,0.02703658293083516,0.032349165596919124,107580831.06901541,0.0253330686446264,1112809177.0884452,254799367.368,84933122.456,665495856.1954298,0.15671055930863556
575,7444,0.9444303476275057,4070776356.79,0.024779810594734775,0.02955400322407308,95299320.54407392,0.02341060087595231,1067150131.5792158,244246581.40739998,81415527.1358,646188702.4919418,0.15873844344558694
600,6749,0.8562547576757168,3726512927.08,0.021601914800667574,0.026670617869313972,76969784.21038109,0.020654640334413825,978730693.7846167,223590775.6248,74530258.5416,603639875.4078357,0.16198518218500652
625,5586,0.7087033747779752,3152969855.59,0.0177630186923711,0.02058718224131758,54988914.1397177,0.017440355175684954,829600809.661686,189178191.33540002,63059397.11180001,522374307.07476825,0.1656769112932159
650,4493,0.5700329865516366,2597914971.69,0.014995469772231807,0.0180280436234142,39412577.277340695,0.015170849587776139,685181108.432123,155874898.3014,51958299.433800004,437935333.4195823,0.16857185019211612
675,3081,0.3908906368941893,1708314406.92,0.012439467571359174,0.01622849724115547,21432032.639161997,0.012545719073927855,448725883.7844182,102498864.4152,34166288.1384,290628698.5916562,0.17012600105366102
700,1547,0.19626998223801065,769205922.73,0.010082966805943628,0.014221073044602456,7749856.406791493,0.010075138760354789,200965377.564687,46152355.3638,15384118.4546,131679047.33949551,0.17118829100034938
725,299,0.037934534382136516,123349770.04999998,0.008121635913408335,0.010033444816053512,978473.1823097747,0.007932509172195047,30475101.786656752,7400986.202999999,2466995.4009999996,19628647.000346977,0.15912998453414612
