model,split,rows,default_rate,roc_auc,gini,ks,average_precision,brier_score,mean_predicted_pd,observed_default_rate
random_forest,oot,7882,0.033240294341537684,0.6940408927891648,0.3880817855783296,0.2919296347498548,0.07276652165973371,0.03170009744737755,0.029489656131457424,0.033240294341537684
xgboost,oot,7882,0.033240294341537684,0.6879670814049007,0.3759341628098014,0.2940303740658372,0.07933500337548328,0.03152698278427124,0.029740625992417336,0.033240294341537684
logistic_regression,oot,7882,0.033240294341537684,0.6717141511891167,0.3434283023782334,0.28602612650517917,0.06934517546992333,0.037021587063562934,0.08627820641685353,0.033240294341537684
decision_tree,oot,7882,0.033240294341537684,0.6466810923443729,0.29336218468874575,0.25694736631203535,0.059205017990473605,0.03181116347312792,0.027730117091706034,0.033240294341537684
dummy_prior,oot,7882,0.033240294341537684,0.5,0.0,0.0,0.033240294341537684,0.03215350051106388,0.028983143012506804,0.033240294341537684
xgboost,train,36780,0.028983143012506797,0.8584039310213168,0.7168078620426337,0.5586257448033318,0.2708166936673541,0.025568945333361626,0.028937282040715218,0.028983143012506797
random_forest,train,36780,0.028983143012506797,0.8090970731518198,0.6181941463036396,0.45134012854466815,0.16933727474127505,0.027284503627951224,0.028866481690727988,0.028983143012506797
logistic_regression,train,36780,0.028983143012506797,0.736669240445856,0.47333848089171204,0.35367109203290137,0.09378467539854708,0.02727342606497117,0.02902557901636201,0.028983143012506797
decision_tree,train,36780,0.028983143012506797,0.6754527919900658,0.3509055839801316,0.2912559135369894,0.06467126949316644,0.027607019251587667,0.028983143012506797,0.028983143012506797
dummy_prior,train,36780,0.028983143012506797,0.5,0.0,0.0,0.028983143012506797,0.028143120433623367,0.028983143012506797,0.028983143012506797
random_forest,valid,7882,0.03438213651357523,0.714580906155928,0.4291618123118559,0.331069179828574,0.08114385560535532,0.03268158494973689,0.02945647949643822,0.03438213651357523
xgboost,valid,7882,0.03438213651357523,0.7095704362640789,0.4191408725281578,0.32693164535114017,0.08603474422821239,0.03244178369641304,0.0311881210654974,0.03438213651357523
logistic_regression,valid,7882,0.03438213651357523,0.7015627507477282,0.40312550149545645,0.31511780628251684,0.08033950970783894,0.034432774741687835,0.06095092013313088,0.03438213651357523
decision_tree,valid,7882,0.03438213651357523,0.675742916278197,0.3514858325563941,0.31635121238874986,0.06178399696375332,0.03283863346652243,0.029714466422848678,0.03438213651357523
dummy_prior,valid,7882,0.03438213651357523,0.5,0.0,0.0,0.03438213651357523,0.03322915433316168,0.028983143012506804,0.03438213651357523
