segment_type,segment,loans,observed_defaults,observed_default_rate,avg_predicted_pd,expected_defaults,calibration_error,oe_ratio,status
rating_grade,C,2946,59,0.02002715546503734,0.0212545370101833,62.615866032,0.0012273815451459592,0.942253197773355,ok
rating_grade,D,2256,99,0.043882978723404256,0.03992146311923759,90.062820797,-0.003961515604166667,1.099232725823059,ok
rating_grade,B,1547,22,0.014221073044602456,0.01352661464124111,20.925672849999998,-0.0006944584033613463,1.051340148424427,ok
rating_grade,E,1041,72,0.069164265129683,0.07078341923631123,73.685539425,0.0016191541066282317,0.9771252346369045,ok
rating_grade,F,92,10,0.10869565217391304,0.10960172047826086,10.083358284,0.0009060683043478207,0.9917330831998433,ok
product_type,cash_loan,4033,130,0.03223406893131664,0.03370284617232829,135.923578613,0.0014687772410116526,0.9564197862251292,ok
product_type,installment_loan,2020,71,0.03514851485148515,0.03392718821633663,68.532920197,-0.0012213266351485189,1.0359984631605994,ok
product_type,credit_line,1829,61,0.03335155822854018,0.02893207139311099,52.916758578,-0.004419486835429195,1.1527539032853873,ok
channel,mobile_app,2783,98,0.03521379805964786,0.032956907099892206,91.719072459,-0.0022568909597556544,1.0684800595187842,ok
channel,branch,2144,72,0.033582089552238806,0.031145552098880595,66.7760637,-0.002436537453358211,1.0782306714494165,ok
channel,partner_pos,1893,57,0.030110935023771792,0.03417337507395669,64.690199015,0.004062440050184895,0.8811226564132715,ok
channel,web,1062,35,0.03295668549905838,0.03219201715065913,34.187922214,-0.00076466834839925,1.023753353038444,ok
segment,salaried,2241,45,0.020080321285140562,0.01906518397233378,42.725077282,-0.0010151373128067832,1.0532456080297934,ok
segment,good_repeat,1390,18,0.012949640287769784,0.017759824592086332,24.686156183,0.004810184304316548,0.7291536141376117,watch
segment,self_employed,1203,33,0.02743142144638404,0.031908897097256854,38.386403208,0.004477475650872816,0.8596793979677306,ok
segment,new_to_credit,1059,65,0.061378659112370164,0.05811570195939565,61.544528375,-0.003262957152974512,1.0561458787033884,ok
segment,near_prime,826,32,0.0387409200968523,0.03082974685108959,25.465370899,-0.007911173245762713,1.25660844002302,watch
segment,thin_file,674,47,0.06973293768545995,0.06173237347774481,41.607619724,-0.008000564207715138,1.1296007873502454,ok
segment,risky_repeat,300,11,0.03666666666666667,0.04542797746333333,13.628393239,0.008761310796666665,0.8071384356977315,ok
segment,subprime,189,11,0.0582010582010582,0.04936353692063492,9.329708478,-0.008837521280423276,1.1790293368692757,ok
bureau_score_band,650_699,2187,63,0.02880658436213992,0.028621590605852766,62.595418655,-0.0001849937562871523,1.0064634338054337,ok
bureau_score_band,600_649,1862,84,0.045112781954887216,0.04611425500590762,85.864742821,0.001001473051020406,0.9782827880252624,ok
bureau_score_band,700_749,1799,40,0.022234574763757644,0.019190621735964426,34.523928503,-0.0030439530277932177,1.1586166967216418,ok
bureau_score_band,750_plus,892,14,0.01569506726457399,0.01785787409865471,15.929223696,0.0021628068340807174,0.8788877767794517,ok
bureau_score_band,550_599,838,50,0.059665871121718374,0.055052023251789976,46.133595485,-0.0046138478699283975,1.0838088701813222,ok
bureau_score_band,<550,210,10,0.047619047619047616,0.04712402765714286,9.896045808,-0.0004950199619047566,1.0105046191192812,ok
bureau_score_band,,94,1,0.010638297872340425,0.025854281063829785,2.43030242,0.01521598319148936,0.4114714250253679,review
