model,prediction_type,roc_auc,gini,ks,average_precision,brier_score,mean_predicted_pd,observed_default_rate
decision_tree,calibrated,0.6481459497906272,0.29629189958125446,0.25694736631203535,0.05913743627330352,0.0318461297849852,0.0328265495990499,0.033240294341537684
decision_tree,raw,0.6466810923443729,0.29336218468874575,0.25694736631203535,0.059205017990473605,0.03181116347312792,0.027730117091706034,0.033240294341537684
dummy_prior,calibrated,0.5,0.0,0.0,0.033240294341537684,0.03213668097717146,0.03438213651357523,0.033240294341537684
dummy_prior,raw,0.5,0.0,0.0,0.033240294341537684,0.03215350051106388,0.028983143012506804,0.033240294341537684
logistic_regression,calibrated,0.6671873434713791,0.3343746869427582,0.2732654124341328,0.06507295210527568,0.032109148819564615,0.04708383043545307,0.033240294341537684
logistic_regression,raw,0.6717141511891167,0.3434283023782334,0.28602612650517917,0.06934517546992333,0.037021587063562934,0.08627820641685353,0.033240294341537684
random_forest,calibrated,0.6899583759091181,0.37991675181823625,0.2785438079782012,0.06773812483447514,0.03161059243799903,0.03444673886772864,0.033240294341537684
random_forest,raw,0.6940408927891648,0.3880817855783296,0.2919296347498548,0.07276652165973371,0.03170009744737755,0.029489656131457424,0.033240294341537684
xgboost,calibrated,0.680430666586524,0.3608613331730479,0.26731381859710285,0.07337414738205889,0.03158438950777054,0.032653290778398514,0.033240294341537684
xgboost,raw,0.6879670814049007,0.3759341628098014,0.2940303740658372,0.07933500337548328,0.03152698278427124,0.029740625992417336,0.033240294341537684
