feature,iv,bins
segment,0.2883934924828484,8
bureau_file_thin_flag,0.21481495928453254,2
bureau_score,0.18269744520022155,6
total_limit,0.1810715961606787,6
oldest_trade_months,0.1769071835780484,6
closed_loans_count,0.12353797659549243,4
outstanding_debt,0.11782691928036372,6
max_dpd_24m,0.10736500218034935,5
delinquency_60_12m,0.0890425159218591,5
active_loans_count,0.08250948009434714,4
bureau_debt_to_income,0.07631460556722786,6
delinquency_30_12m,0.057523048711311746,2
employment_type,0.034543019888809284,7
requested_amount_to_income,0.03443354894284441,6
utilization_rate,0.03286167315430205,6
device_risk_score,0.031848783303845184,5
inquiries_90d,0.02604740209566453,5
verified_income,0.022763680177921627,6
income_stability_score,0.021940840460012483,5
debt_to_income_est,0.018360362404280576,5
principal_amount_to_income,0.017787728941199187,6
declared_income,0.015192222100246445,5
external_collections_flag,0.007914280340712733,2
product_type,0.007512458769994493,3
purpose_code,0.006230444774921289,10
inquiries_30d,0.005943962786961805,2
requested_term_months,0.0055372702485002945,4
term_months,0.00536830493656435,4
principal_amount,0.005125912244238992,5
interest_rate,0.004952303050527934,5
expense_to_income_est,0.004847970940593985,5
age_at_application,0.0035816044431230022,5
job_tenure_months,0.003423377581074279,5
client_tenure_days,0.003295704446861761,5
channel,0.003216728962705875,4
requested_amount,0.0030047016170724355,5
education_level,0.0029258152447128893,5
repeat_application_flag,0.0027716707854772635,2
total_work_experience_months,0.002083867583327745,5
delinquency_90_24m,0.0015916734412208427,4
synthetic_identity_flag,0.0009209008742491611,2
is_existing_customer,0.00046538982010888843,2
digital_channel,0.0004038433777394433,4
fraud_suspect_flag,0.00024189949354481454,2
verification_status,0.0002351516941406386,4
city_type,0.00022537089326850102,4
doc_mismatch_flag,5.713662869544858e-05,2
